,no.peserta,kode.pendidikan,twk.nilai,tiu.nilai,tkp.nilai,skd.nilai,skd.keterangan,kode.formasi,lokasi.formasi,nama.pendidikan,jk,kode.formasi_x,lokasi.formasi_x,kode.prodi_y,nama.prodi_y,no.ujian_x,psi.keterangan,mtk.nilai,mtk.keterangan,t2.keterangan,hasil.akhir_x
14676,S2240160123308677,3001005,105,130,188,423,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3308677,P,95.0,P,P,
14677,S2240160125301304,3001005,105,145,173,423,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5301304,P,80.0,P,P,
14678,S2240160123300718,3001005,105,135,181,421,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3300718,P,105.0,P,P/L,Lulus
14679,S2240160125301748,3001005,90,150,176,416,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5301748,P,75.0,P,P,
14680,S2240160125303421,3001005,110,115,188,413,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5303421,TL,60.0,TL,TL,
14681,S2240160115301757,3001005,105,125,183,413,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5301757,P,40.0,TL,TL,
14682,S2240160115100923,3001005,85,145,182,412,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5100923,P,110.0,P,P/L,Lulus
14683,S2240160113519877,3001005,90,145,177,412,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3519877,P,55.0,TL,TL,
14684,S2240160121400748,3001005,95,150,167,412,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,1400748,P,100.0,P,P,
14685,S2240160113318047,3000020,110,120,180,410,P/L,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3318047,P,95.0,P,P,
14686,S2240160121203013,3001005,95,130,183,408,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,1203013,P,75.0,P,P,
14687,S2240160121207772,3001005,95,130,183,408,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,1207772,P,80.0,P,P,
14688,S2240160125303014,3001005,105,105,195,405,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5303014,P,50.0,TL,TL,
14689,S2240160113518195,3001005,90,125,190,405,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3518195,P,80.0,P,P,
14690,S2240160113514559,3001005,100,125,180,405,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Lk,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,3514559,P,70.0,P,P,
14691,S2240160125303135,3001005,70,145,189,404,P/L,40160012,Nusa Tenggara Timur,SMA IPA,Pr,40160012,PROVINSI NUSA TENGGARA TIMUR,5000501,D-IV KOMPUTASI STATISTIK,5303135,P,85.0,P,P,
14692,S2240160123508929,3001005,100,115,189,404,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14693,S2240160123318803,3001005,80,140,184,404,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14694,S2240160121803226,3001005,90,120,193,403,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14695,S2240160125304264,3001005,100,110,193,403,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14696,S2240160123214020,3001005,90,125,186,401,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14697,S2240160123305377,3001005,80,130,190,400,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14698,S2240160125302530,3000020,85,140,175,400,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
14699,S2240160123402977,3001005,105,125,169,399,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14700,S2240160113323560,3001005,90,125,183,398,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14701,S2240160125100756,3001005,75,140,179,394,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14702,S2240160125300594,3001005,90,115,188,393,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14703,S2240160115300222,3001005,100,105,186,391,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14704,S2240160123514331,3001005,85,130,176,391,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14705,S2240160121803781,3001005,75,135,179,389,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14706,S2240160111206142,3001005,90,120,178,388,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14707,S2240160113207091,3001005,75,125,185,385,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14708,S2240160123510003,3001005,75,130,180,385,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14709,S2240160125301812,3001005,90,115,180,385,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14710,S2240160115301544,3001005,95,110,180,385,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14711,S2240160123516816,3001005,100,115,169,384,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14712,S2240160115302509,3001005,95,125,164,384,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14713,S2240160113521153,3001005,75,115,191,381,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14714,S2240160123517561,3001005,85,130,165,380,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14715,S2240160125101726,3001005,70,130,179,379,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14716,S2240160113206924,3001005,70,130,177,377,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14717,S2240160113503197,3001005,90,105,181,376,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14718,S2240160113505302,3000020,85,105,182,372,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
14719,S2240160123513680,3001005,70,125,177,372,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14720,S2240160113102547,3001005,80,100,190,370,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14721,S2240160125302578,3001005,65,120,180,365,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14722,S2240160125301481,3001005,75,95,194,364,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14723,S2240160125302639,3001005,80,90,194,364,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14724,S2240160113315398,3000020,85,90,189,364,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
14725,S2240160125301010,3001005,90,100,174,364,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14726,S2240160123318489,3001005,80,125,159,364,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14727,S2240160113518133,3001005,95,80,187,362,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14728,S2240160123505278,3001005,75,120,166,361,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14729,S2240160121404160,3001005,80,115,162,357,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14730,S2240160125302710,3000020,70,105,179,354,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
14731,S2240160115304514,3001005,85,90,179,354,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14732,S2240160115302581,3001005,70,115,169,354,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14733,S2240160121308277,3000020,85,105,164,354,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
14734,S2240160113321742,3001005,70,110,171,351,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14735,S2240160125300978,3001005,75,105,171,351,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14736,S2240160113320280,3171110,75,90,184,349,P,40160012,Nusa Tenggara Timur,SMK TEKNOLOGI INFORMASI DAN KOMUNIKASI,Lk,,,,,,,,,,
14737,S2240160125302925,3001005,80,105,163,348,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
